H,title,date,director,prds,st,prc,prc,cat,aw,locale,"Nt(first, all)",|
H1,Always Tell Your Wife,1922,Se.Hicks,Lasky,"SFamous, SD:*",sbw,Dram,aw,lc,CoD(Hitchcock),|
H2,Number Thirteen,1922,Hitchcock,Hitchcock,"SIslington, SD:Famous",sbw,,,,Nt(unfinished),|
H3,Woman to Woman,1922,Hitchcock,Balcon,"SB-S-F, SD:Wardour",sbw,Dram,,England,"CoD(Cutts) Er(same as GCt27, 1926?)",|
H4,The Passionate Adventure,1924,Hitchcock,Balcon,"SGainsborough, SD:GaumontD",sbw,,,,CoD(Cutts),|
H5,The Blackguard,1925,Hitchcock,Balcon,"SUFA, SD:Wardour",sbw,,,,CoD(Cutts),|
H7,The Pleasure Garden,1925,Hitchcock,Balcon,"SGainsborough and Emelka, SD:Wardour",sbw,Dram,H,"Pleasure Garden, theater",Nt(released 1927) C(Ventimiglia) B(Oliver Sandys) W(Eliot Stannard),|
H8,The Mountain Eagle,1926,Hitchcock,Balcon,"SGainsborough, Emelka, SD:Wardour",sbw,Dram,H,,Nt(no prints left) Nt(Released 1927) W(Eliot Stannard) C(Baron Ventimiglia) Alt(Fear O'God; USA),|
H9,The Lodger: A Story of The London Fog,1926,Hitchcock,Balcon,"SGainsborough, SD:(Wardour",sbw,Susp,,"London, England","B(Mary Belloc Lowndes: The Lodger) Nt(Jack the Ripper) W(Hitchcock, Eliot Stannard) Cost(12K lbs) Nt(released 1927) C(Baron Ventimiglia) Alt(The Case of Jonathan Drew; USA)",|
H10,Downhill,1927,Hitchcock,Balcon,"SIslington; Gainsborough, SD:Wardour",sbw,Susp,,,"W(Eliot Stannard) W(Ivor Novello, Constance Collier) C(Baron Ventimiglia) Er(W))",|
H11,Easy Virtue,1927,Hitchcock,Balcon,"SGainsborough, SD:Wardour",sbw,Susp,,,B(Noel Coward) W(Eliot Stannard) C(Claude McDonnell),|
H12,The Ring,1927,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",sbw,Susp,,"theater, England","W(Hitchcock, Alma Reveille) C(Claude McDonnell)",|
H13,The Farmer's Wife,1928,Hitchcock,J.Maxwell,"SBIP Elstree, SD:Wardour",sbw,Susp,,,B(Eden Philpotts) W(Hitchcock) C(J.Cox),|
